,camper_id,session_id,zipcode,county_id,county,state,state_long_name,cases_per_100k_county,date_county,positive_of_total_state,increase_per_100k_state,date_state
202,12146535,session_4,29464,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
203,12343563,session_3,07701,34025,Monmouth,NJ,New Jersey,161.38,2020-10-30,5.109119079333675,15.35,2020-10-31
204,12343713,session_1,28209,37119,Mecklenburg,NC,North Carolina,326.02,2020-10-30,6.772489147149948,26.74,2020-10-31
205,12344049,session_5,27608,37183,Wake,NC,North Carolina,207.74,2020-10-30,6.772489147149948,26.74,2020-10-31
206,12344186,session_5,28804,37021,Buncombe,NC,North Carolina,40.16,2020-10-30,6.772489147149948,26.74,2020-10-31
207,12352969,session_5,75007,48113,Dallas,Ile de France,,,2020-10-30,,,
208,12356507,session_2,31522,13127,Glynn,GA,Georgia,36.1,2020-10-30,10.059965525260193,24.16,2020-10-31
209,12356918,session_2,27932,37041,Chowan,NC,North Carolina,5.08,2020-10-30,6.772489147149948,26.74,2020-10-31
210,12407809,session_3,29640,45077,Pickens,SC,South Carolina,88.72,2020-10-30,9.8006159651508,19.77,2020-10-31
211,12421052,session_5,22206,51059,Fairfax,VA,Virginia,280.52,2020-10-30,6.864456255429452,18.17,2020-10-31
212,12421080,session_5,22206,51059,Fairfax,VA,Virginia,280.52,2020-10-30,6.864456255429452,18.17,2020-10-31
213,12429010,session_2,29464,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
214,12436618,session_1,30606,13059,Clarke,GA,Georgia,64.07,2020-10-30,10.059965525260193,24.16,2020-10-31
215,12442741,session_2,23226,51087,Henrico,VA,Virginia,75.44,2020-10-30,6.864456255429452,18.17,2020-10-31
216,12456560,session_1,30606,13059,Clarke,GA,Georgia,64.07,2020-10-30,10.059965525260193,24.16,2020-10-31
217,12457499,session_2,28718,37175,Transylvania,NC,North Carolina,4.1,2020-10-30,6.772489147149948,26.74,2020-10-31
218,12462064,session_1,28207,37119,Mecklenburg,NC,North Carolina,326.02,2020-10-30,6.772489147149948,26.74,2020-10-31
219,12464971,session_2,29487,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
220,12469729,session_1,29209,45079,Richland,SC,South Carolina,339.02,2020-10-30,9.8006159651508,19.77,2020-10-31
221,12469754,session_1,29209,45079,Richland,SC,South Carolina,339.02,2020-10-30,9.8006159651508,19.77,2020-10-31
222,12470024,session_1,31522,13127,Glynn,GA,Georgia,36.1,2020-10-30,10.059965525260193,24.16,2020-10-31
223,12470576,session_6,27103,37067,Forsyth,NC,North Carolina,86.18,2020-10-30,6.772489147149948,26.74,2020-10-31
224,12470766,session_6,27103,37067,Forsyth,NC,North Carolina,86.18,2020-10-30,6.772489147149948,26.74,2020-10-31
225,12470834,session_5,29412,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
226,12471297,session_5,29412,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
227,12472517,session_3,29403,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
228,12472563,session_3,29403,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
229,12473577,session_1,31522,13127,Glynn,GA,Georgia,36.1,2020-10-30,10.059965525260193,24.16,2020-10-31
230,12473805,session_3,29403,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
231,12473840,session_3,29403,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
232,12478701,session_4,29464,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
233,12481672,session_6,29464,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
234,12506891,session_5,28204,37119,Mecklenburg,NC,North Carolina,326.02,2020-10-30,6.772489147149948,26.74,2020-10-31
235,12507969,session_3,70115,22051,Jefferson,LA,Louisiana,404.08,2020-10-30,6.753662067590535,0.0,2020-10-31
236,12520897,,28036,37119,Mecklenburg,NC,North Carolina,326.02,2020-10-30,6.772489147149948,26.74,2020-10-31
237,12542892,session_2,70118,22071,Orleans,LA,Louisiana,291.17,2020-10-30,6.753662067590535,0.0,2020-10-31
238,12547291,session_2,75035,48085,Collin,TX,Texas,63.33,2020-10-30,11.044521293419013,24.64,2020-10-31
239,12614084,session_2,29464,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
240,12648730,session_1,37917,47093,Knox,TN,Tennessee,200.42,2020-10-30,7.099349551293067,17.34,2020-10-31
241,12676987,session_1,20009,11001,District of Columbia,DC,District of Columbia,2429.19,2020-10-30,3.3574978804166054,17.29,2020-10-31
242,12677359,session_2,27278,37063,Durham,NC,North Carolina,87.95,2020-10-30,6.772489147149948,26.74,2020-10-31
243,12720520,session_4,27514,37135,Orange,NC,North Carolina,29.86,2020-10-30,6.772489147149948,26.74,2020-10-31
244,12734844,session_5,28337,37017,Bladen,NC,North Carolina,10.46,2020-10-30,6.772489147149948,26.74,2020-10-31
245,12742992,session_5,37405,47065,Hamilton,TN,Tennessee,183.96,2020-10-30,7.099349551293067,17.34,2020-10-31
246,12765075,session_6,28209,37119,Mecklenburg,NC,North Carolina,326.02,2020-10-30,6.772489147149948,26.74,2020-10-31
247,12765823,session_1,37212,47037,Davidson,TN,Tennessee,507.56,2020-10-30,7.099349551293067,17.34,2020-10-31
248,12783185,session_4,29464,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
249,12870711,session_5,27516,37135,Orange,NC,North Carolina,29.86,2020-10-30,6.772489147149948,26.74,2020-10-31
250,12910849,session_1,28226,37119,Mecklenburg,NC,North Carolina,326.02,2020-10-30,6.772489147149948,26.74,2020-10-31
251,12939683,session_4,29910,45013,Beaufort,SC,South Carolina,119.91,2020-10-30,9.8006159651508,19.77,2020-10-31
252,12962577,session_3,10028,36061,,NY,New York,,,3.4931845455700614,10.53,2020-10-31
253,13039129,,28205,37119,Mecklenburg,NC,North Carolina,326.02,2020-10-30,6.772489147149948,26.74,2020-10-31
254,13116424,session_2,29650,45045,Greenville,SC,South Carolina,347.54,2020-10-30,9.8006159651508,19.77,2020-10-31
255,13310496,session_1,28210,37119,Mecklenburg,NC,North Carolina,326.02,2020-10-30,6.772489147149948,26.74,2020-10-31
256,13338017,session_1,29464,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
257,13338613,session_1,37919,47093,Knox,TN,Tennessee,200.42,2020-10-30,7.099349551293067,17.34,2020-10-31
258,13338951,session_2,30030,13089,DeKalb,GA,Georgia,211.01,2020-10-30,10.059965525260193,24.16,2020-10-31
259,13339514,session_5,30907,13245,Richmond,GA,Georgia,78.63,2020-10-30,10.059965525260193,24.16,2020-10-31
260,13339963,session_2,29407,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
261,13340055,session_3,28749,37111,McDowell,NC,North Carolina,12.9,2020-10-30,6.772489147149948,26.74,2020-10-31
262,13351847,session_1,29464,45019,Charleston,SC,South Carolina,336.26,2020-10-30,9.8006159651508,19.77,2020-10-31
263,13357239,session_1,28226,37119,Mecklenburg,NC,North Carolina,326.02,2020-10-30,6.772489147149948,26.74,2020-10-31
264,13357245,session_1,28226,37119,Mecklenburg,NC,North Carolina,326.02,2020-10-30,6.772489147149948,26.74,2020-10-31
265,13357766,session_2,27517,37063,Durham,NC,North Carolina,87.95,2020-10-30,6.772489147149948,26.74,2020-10-31
266,13357864,session_4,29902,45013,Beaufort,SC,South Carolina,119.91,2020-10-30,9.8006159651508,19.77,2020-10-31
267,13359784,session_1,28411,37129,New Hanover,NC,North Carolina,50.95,2020-10-30,6.772489147149948,26.74,2020-10-31
268,13361286,session_1,30066,13067,Cobb,GA,Georgia,226.47,2020-10-30,10.059965525260193,24.16,2020-10-31
269,13362028,session_4,28226,37119,Mecklenburg,NC,North Carolina,326.02,2020-10-30,6.772489147149948,26.74,2020-10-31
270,13431918,,32256,12031,Duval,FL,Florida,163.76,2020-10-30,12.92678125844651,10.63,2020-10-31
271,13434086,session_4,10025,36061,,NY,New York,,,3.4931845455700614,10.53,2020-10-31
272,13434639,session_5,75007,48113,Dallas,Ile de France,,,2020-10-30,,,
273,13443210,session_5,27612,37183,Wake,NC,North Carolina,207.74,2020-10-30,6.772489147149948,26.74,2020-10-31
274,13443472,session_1,29532,45041,Florence,SC,South Carolina,109.89,2020-10-30,9.8006159651508,19.77,2020-10-31
275,13457243,session_3,27514,37135,Orange,NC,North Carolina,29.86,2020-10-30,6.772489147149948,26.74,2020-10-31
276,13458050,session_1,27514,37135,Orange,NC,North Carolina,29.86,2020-10-30,6.772489147149948,26.74,2020-10-31
